gateway_txn_id,erp_ref_id,settlement_date,payment_mode,gross_amount_inr,gateway_fee_inr,gst_on_fee_inr,net_settled_inr,settlement_utr,status
pay_GZZ3PX53AWMHQ3,ERP-2026-0043,2026-08-19,NEFT,74872.38,1497.45,269.54,73105.39,358126769959,SETTLED
pay_PULDHX0DA8QX0I,ERP-2026-0044,2026-07-27,CARD,137145.4,2742.91,493.72,133908.77,355903472637,SETTLED
pay_4PGNN42W4C2VHB,ERP-2026-0045,2026-08-08,NB,3743.98,74.88,13.48,3655.62,476641146432,SETTLED
pay_RPCS6EOICIKGFL,ERP-2026-0046,2026-08-05,WALLET,77472.71,1549.45,278.9,75644.36,475271505750,SETTLED
pay_GDCQUPRHBBKT5Z,ERP-2026-0047,2026-08-22,NEFT,14428.59,288.57,51.94,14088.08,327776695447,SETTLED
pay_GGB5JJ3XT5PVAC,ERP-2026-0048,2026-07-07,CARD,94179.18,1883.58,339.04,91956.56,270567267532,SETTLED
pay_4CHJ2KMEZK6DOM,ERP-2026-0049,2026-07-31,NEFT,86444.74,1728.89,311.2,84404.65,910465531320,SETTLED
pay_SGTMH8PROJWBSB,ERP-2026-0050,2026-08-18,UPI,125997.04,2519.94,453.59,123023.51,597158468760,SETTLED
pay_1Y6QLKKAEW135V,ERP-2026-0051,2026-07-17,WALLET,90948.9,1818.98,327.42,88802.5,705120021927,SETTLED
pay_YUJ20W29EZ27XD,ERP-2026-0052,2026-07-13,NEFT,57690.99,1153.82,207.69,56329.48,990362784361,SETTLED
pay_D420M5VHL30DAQ,ERP-2026-0053,2026-07-06,WALLET,75899.89,1518.0,273.24,74108.65,730616278713,SETTLED
pay_BQ0A28ZPXHD2T0,ERP-2026-0054,2026-08-17,CARD,128867.87,2577.36,463.92,125826.59,473149508994,SETTLED
pay_ZB2TUK2QLD61LU,ERP-2026-0055,2026-07-09,NB,108028.47,2160.57,388.9,105479.0,247572304810,SETTLED
pay_GJGD3AWM4BGUS6,ERP-2026-0056,2026-08-08,NEFT,70625.64,1412.51,254.25,68958.88,934421929457,SETTLED
pay_91KZKTTIY85L6E,ERP-2026-0057,2026-08-13,CARD,75462.86,1509.26,271.67,73681.93,582116955997,SETTLED
pay_7FW23M5HLKHRIN,ERP-2026-0058,2026-08-03,NB,122409.43,2448.19,440.67,119520.57,312689876913,SETTLED
pay_GABJ7YXXAIBZ2C,ERP-2026-0059,2026-08-07,WALLET,53594.08,1071.88,192.94,52329.26,803581272431,SETTLED
pay_MEL3D1R3QJR7ZB,ERP-2026-0060,2026-08-17,IMPS,62840.95,1256.82,226.23,61357.9,186452559013,SETTLED
pay_9KPNLONW9200VS,ERP-2026-0061,2026-08-03,NEFT,71837.98,1436.76,258.62,70142.6,444002936646,SETTLED
pay_VI96ABJDPYTFW1,ERP-2026-0062,2026-07-08,IMPS,62818.94,1256.38,226.15,61336.41,231808452391,SETTLED
pay_PTQR72TMWZ7ZX6,ERP-2026-0063,2026-07-15,CARD,97965.32,1959.31,352.68,95653.33,723375054445,SETTLED
pay_ZNC1NIQCCQHVE9,ERP-2026-0064,2026-07-22,CARD,3260.03,65.2,11.74,3183.09,556464682446,SETTLED
pay_G0CMOAC97UMGHO,ERP-2026-0065,2026-08-03,NEFT,100272.43,2005.45,360.98,97906.0,405172452058,SETTLED
pay_73B63XOJXCZ147,ERP-2026-0066,2026-08-22,NB,122005.35,2440.11,439.22,119126.02,525649044589,SETTLED
pay_WFSQ1X2HNBVSLL,ERP-2026-0067,2026-08-06,UPI,41867.64,837.35,150.72,40879.57,349847237198,SETTLED
pay_HX89L7ZJM1JGMF,ERP-2026-0068,2026-07-02,NEFT,98436.65,1919.35,354.37,96162.93,424047282959,SETTLED
pay_SBWZ32R5SE307O,ERP-2026-0069,2026-08-04,WALLET,59281.98,1185.64,213.42,57882.92,244620942683,SETTLED
pay_L83OKMZ825EQ5I,ERP-2026-0070,2026-08-15,WALLET,144838.94,2918.32,521.42,141399.2,399063549695,SETTLED
pay_WO7HZL5ECD38SD,ERP-2026-0071,2026-08-23,NEFT,52195.57,1043.91,187.9,50963.76,447669727410,SETTLED
pay_R0YQE8TNUIAWYA,ERP-2026-0072,2026-08-15,UPI,7791.61,155.83,28.05,7607.73,361431961337,SETTLED
pay_NU55OCILZXCYXQ,ERP-2026-0073,2026-08-02,WALLET,64723.57,1294.47,233.0,63196.1,912691505884,SETTLED
pay_C3YXTQ4MPV6EMX,ERP-2026-0074,2026-07-09,UPI,135077.29,2701.55,486.28,131889.46,181149827479,SETTLED
pay_XQ2U9FAPKAQG1M,ERP-2026-0075,2026-08-09,UPI,45245.03,904.9,162.88,44177.25,447172585188,SETTLED
pay_HTQ4T1T1KJL9U9,ERP-2026-0076,2026-08-20,CARD,4245.07,84.9,15.28,4144.89,887629624478,SETTLED
pay_G37AGXLS6F61X0,ERP-2026-0077,2026-08-11,IMPS,70448.85,1408.98,253.62,68786.25,639336981677,SETTLED
pay_UNW9KM077XU39D,ERP-2026-0078,2026-08-12,IMPS,62751.12,1255.02,225.9,61270.2,323464375888,SETTLED
pay_DDGNXXO6IZJ0QK,ERP-2026-0079,2026-08-15,CARD,83278.39,1665.57,299.8,81313.02,402823270879,SETTLED
pay_OM6J4MG5G93AOA,ERP-2026-0080,2026-08-10,NB,131649.28,2632.99,473.94,128542.35,530919746782,SETTLED
pay_XAAE8PN3IAEVOR,ERP-2026-0081,2026-08-10,WALLET,1316.4,26.33,4.74,1285.33,942958607327,SETTLED
pay_DS4SGWQW75DIF9,ERP-2026-0082,2026-07-11,UPI,114092.79,2281.86,410.73,111400.2,356981271250,SETTLED
pay_5K4B8PS3DK72X7,ERP-2026-0083,2026-07-19,CARD,50036.58,1000.73,180.13,48855.72,839727959340,SETTLED
pay_LFISJEEWH5KID7,ERP-2026-0084,2026-08-03,NEFT,133785.23,2675.7,481.63,130627.9,398496945661,SETTLED
pay_NQE2X2UGLSRCJ5,ERP-2026-0085,2026-08-25,UPI,144250.62,2853.21,519.3,140878.11,252446671971,SETTLED
pay_X5EXV3QJY0WETL,ERP-2026-0086,2026-07-14,CARD,59083.53,1181.67,212.7,57689.16,614716707220,SETTLED
pay_YOECI8Q4MC4R4N,ERP-2026-0087,2026-07-03,NB,69294.39,1385.89,249.46,67659.04,531867892621,SETTLED
pay_7M8W6SILS5VV8B,ERP-2026-0088,2026-08-11,NEFT,34157.71,683.15,122.97,33351.59,420599715040,SETTLED
pay_ADLHB3KEASEAU6,ERP-2026-0089,2026-07-19,NEFT,31417.61,628.35,113.1,30676.16,369225067088,SETTLED
pay_6I4ASG8OOQY0OD,ERP-2026-0090,2026-08-11,IMPS,43780.89,875.62,157.61,42747.66,519091175931,SETTLED
pay_XDZMGDIZHZPX8A,ERP-2026-0091,2026-07-30,WALLET,58316.75,1166.34,209.94,56940.47,229351834754,SETTLED
pay_B7VQB9YOPDLP0E,ERP-2026-0092,2026-07-31,UPI,145933.18,2918.66,525.36,142489.16,407234552052,SETTLED
pay_I53JCA2HCBXRAS,ERP-2026-0093,2026-07-03,NEFT,51110.87,1022.22,184.0,49904.65,645247530210,SETTLED
pay_XFP3QWKDH0V26N,ERP-2026-0094,2026-08-10,IMPS,94241.3,1884.83,339.27,92017.2,470215844853,SETTLED
pay_L3WOZXIUA5ZFKQ,ERP-2026-0095,2026-07-31,NEFT,22498.1,449.96,80.99,21967.15,807494326757,SETTLED
pay_5GN98JPMAL997T,ERP-2026-0096,2026-07-16,NB,148004.51,2960.09,532.82,144511.6,397239517104,SETTLED
pay_PO9H83T3DL2LYO,ERP-2026-0097,2026-07-10,WALLET,139831.27,2796.63,503.39,136531.25,910774026017,SETTLED
pay_AQBIJT0SBQK7LC,ERP-2026-0098,2026-07-06,CARD,42227.2,844.54,152.02,41230.64,118639688976,SETTLED
pay_OULA4VGJXNM5GM,ERP-2026-0099,2026-08-08,WALLET,2533.28,50.67,9.12,2473.49,724833125852,SETTLED
pay_00VML12X510N52,ERP-2026-0100,2026-07-27,NB,103681.57,2073.63,373.25,101234.69,660163191517,SETTLED
pay_53N6M03SDY0IGF,ERP-2026-0101,2026-07-28,WALLET,104677.85,2093.56,376.84,102207.45,267477474860,SETTLED
pay_YI0VSSG3LB1JC7,ERP-2026-0102,2026-08-13,NEFT,83128.72,1665.68,299.26,81163.78,171238360663,SETTLED
pay_PYJTJ744V1N8M2,ERP-2026-0103,2026-08-12,CARD,79930.12,1598.6,287.75,78043.77,628909667044,SETTLED
pay_XGJTU6HBLWAQVU,ERP-2026-0104,2026-07-06,NEFT,65061.53,1301.23,234.22,63526.08,797325523870,SETTLED
pay_7LCPJHC4XKMW4L,ERP-2026-0105,2026-07-30,IMPS,77607.62,1552.15,279.39,75776.08,608941018806,SETTLED
pay_ITLI1IG7XBFJ24,ERP-2026-0106,2026-07-12,NEFT,60485.34,1209.71,217.75,59057.88,508879735650,SETTLED
pay_T73TE8SLCHS102,ERP-2026-0107,2026-07-17,WALLET,115130.71,2302.61,414.47,112413.63,921533568775,SETTLED
pay_DZIDOG6QQ70VGH,ERP-2026-0108,2026-07-23,UPI,19623.48,392.47,70.64,19160.37,474902632341,SETTLED
pay_HO4T66CPKMFCV6,ERP-2026-0109,2026-07-16,CARD,13215.41,264.31,47.58,12903.52,391618770135,SETTLED
pay_FN7MMVHO8X8ASB,ERP-2026-0110,2026-07-25,UPI,52838.9,1056.78,190.22,51591.9,189462510545,SETTLED
pay_UHCP7CH6CUYN76,ERP-2026-0111,2026-08-02,NB,32825.2,656.5,118.17,32050.53,796256248404,SETTLED
pay_MI4G6CKED7QV19,ERP-2026-0112,2026-08-07,CARD,21280.48,425.61,76.61,20778.26,300391996834,SETTLED
pay_MP0ULWRKNYRWEK,ERP-2026-0113,2026-07-23,WALLET,95551.12,1911.02,343.98,93296.12,934108311563,SETTLED
pay_WSXLQ5MSSSUAMR,ERP-2026-0114,2026-07-03,CARD,120393.33,2407.87,433.42,117552.04,617010302756,SETTLED
pay_QW9DXCV4QSQSG4,ERP-2026-0115,2026-07-18,NB,100296.53,2005.93,361.07,97929.53,838439538368,SETTLED
pay_WLQTDZ4LGC7DN9,ERP-2026-0116,2026-08-08,NEFT,78295.9,1565.92,281.87,76448.11,684831480818,SETTLED
pay_5YNDBCIEI5426F,ERP-2026-0117,2026-07-23,NB,13889.39,277.79,50.0,13561.6,443023917896,SETTLED
pay_DJKAMDP34R7NT6,ERP-2026-0118,2026-08-02,NEFT,50043.94,1000.88,180.16,48862.9,322630561996,SETTLED
pay_76VNRFQY95P7GI,ERP-2026-0119,2026-07-24,NEFT,18550.64,371.01,66.78,18112.85,353867575402,SETTLED
pay_Z6J01Z8SEAL29Y,ERP-2026-0120,2026-08-24,NEFT,123509.25,2470.18,444.63,120594.44,514665208798,SETTLED
pay_WL0GDAE5NZ0V58,ERP-2026-0121,2026-08-10,IMPS,33416.42,668.33,120.3,32627.79,230919734580,SETTLED
pay_9KL0OCYS6Q225W,ERP-2026-0122,2026-08-04,NEFT,70893.6,1417.87,255.22,69220.51,584973728564,SETTLED
pay_4E44RND0SFT030,ERP-2026-0123,2026-07-16,NB,56478.66,1129.57,203.32,55145.77,348289314086,SETTLED
pay_X5HGZ2922WNUO6,ERP-2026-0124,2026-08-04,WALLET,117299.55,2308.97,422.28,114568.3,586545351893,SETTLED
pay_LMVH9L02WNJI0L,ERP-2026-0125,2026-08-06,CARD,21794.55,435.89,78.46,21280.2,607466185937,SETTLED
pay_7T17VQ9ZG8FKLJ,ERP-2026-0126,2026-07-24,IMPS,6280.83,125.62,22.61,6132.6,459930819927,SETTLED
pay_E08MLBW142WW6X,ERP-2026-0127,2026-08-08,NB,136479.45,2729.59,491.33,133258.53,533889620642,SETTLED
pay_KOKQUB7X0PV0T7,ERP-2026-0128,2026-08-12,UPI,88558.03,1771.16,318.81,86468.06,191501236359,SETTLED
pay_SK1CIZ22SSD9QR,ERP-2026-0129,2026-08-17,CARD,121766.55,2433.85,438.36,118894.34,272970875189,SETTLED
pay_GWT4VWG8VCPFA3,ERP-2026-0130,2026-08-20,UPI,77089.33,1541.79,277.52,75270.02,649936770402,SETTLED
pay_M15J3L16SUK4FY,ERP-2026-0131,2026-08-06,WALLET,19414.32,388.29,69.89,18956.14,109877846019,SETTLED
pay_34F7XL3P1GU4AA,ERP-2026-0132,2026-08-24,NB,146438.68,2928.77,527.18,142982.73,488479487604,SETTLED
pay_V1BIO3F38UNNEE,ERP-2026-0133,2026-07-27,UPI,13738.16,274.76,49.46,13413.94,779144903156,SETTLED
pay_TX1S764YBPJWPP,ERP-2026-0134,2026-08-08,NEFT,135817.0,2716.34,488.94,132611.72,632003393918,SETTLED
pay_9DBQ5SQO27GXIP,ERP-2026-0135,2026-07-26,IMPS,25177.85,503.56,90.64,24583.65,688768180363,SETTLED
pay_UHU7SKIDRHKEV9,ERP-2026-0136,2026-07-15,WALLET,76820.99,1536.42,276.56,75008.01,237729912654,SETTLED
pay_SSZLI16EX231TY,ERP-2026-0137,2026-07-18,IMPS,106463.12,2129.26,383.27,103950.59,503165020331,SETTLED
pay_3VIT0D2NGA65RP,ERP-2026-0138,2026-07-22,NEFT,19022.8,380.46,68.48,18573.86,539112765664,SETTLED
pay_ZHHRQZAB2WCQ79,ERP-2026-0139,2026-07-11,WALLET,135209.38,2704.19,486.75,132018.44,953837581463,SETTLED
pay_5PM8KGXCNW5RAG,ERP-2026-0140,2026-07-08,IMPS,22469.04,449.38,80.89,21938.77,793805724567,SETTLED
pay_RVEIDZRCOA25SC,ERP-2026-0141,2026-07-12,NB,146620.52,2932.41,527.83,143160.28,679559414118,SETTLED
pay_3V2QU7GNB6HLTR,ERP-2026-0142,2026-07-29,IMPS,100891.76,2014.74,363.21,98513.81,989996127033,SETTLED
pay_EOJZSVAX4FA3MN,ERP-2026-0143,2026-08-16,NEFT,119681.69,2393.63,430.85,116857.21,963534530904,SETTLED
pay_2AR5AEKVGSNB1V,ERP-2026-0144,2026-08-11,WALLET,105465.89,2109.32,379.68,102976.89,663453861935,SETTLED
pay_JMRDS1H75V2INW,ERP-2026-0145,2026-08-04,UPI,58625.13,1172.5,211.05,57241.58,778375071402,SETTLED
pay_I2GVQH15N9M853,ERP-2026-0146,2026-07-22,IMPS,7719.92,151.4,27.79,7540.73,258637894273,SETTLED
pay_7SL4HRI5U21JO1,ERP-2026-0147,2026-07-12,UPI,56779.16,1108.02,204.4,55466.74,568980556580,SETTLED
pay_3UCD2SOZ4DDUJO,ERP-2026-0148,2026-08-07,UPI,1764.52,35.29,6.35,1722.88,282193221909,SETTLED
pay_PPXJM885Z8D7OT,ERP-2026-0149,2026-08-22,IMPS,140751.15,2815.02,506.7,137429.43,578804980820,SETTLED
pay_SHN6FQ18FOD9DC,ERP-2026-0150,2026-08-05,IMPS,74823.05,1496.46,269.36,73057.23,634885700635,SETTLED
pay_P5I22IJ25DBGBN,ERP-2026-0151,2026-08-06,IMPS,82524.05,1650.48,297.09,80576.48,352312096193,SETTLED
pay_SKGYY1NR2D94OX,ERP-2026-0152,2026-08-09,IMPS,127083.62,2541.67,457.5,124084.45,185789671377,SETTLED
pay_EBWOFAH9GG1BLB,ERP-2026-0153,2026-08-07,NB,51912.33,1062.6,186.88,50662.85,823807766242,SETTLED
pay_18DR7SJIU2ESSA,ERP-2026-0154,2026-08-06,CARD,124964.11,2499.28,449.87,122014.96,357834057157,SETTLED
pay_SVRQM8YZ1H930S,ERP-2026-0155,2026-07-21,NB,137412.82,2748.26,494.69,134169.87,903573628808,SETTLED
pay_A7D9FVQIFJG3HO,ERP-2026-0156,2026-07-21,WALLET,48087.32,961.75,173.11,46952.46,206815140568,SETTLED
pay_9WPY97FY21OEW5,ERP-2026-0157,2026-08-21,IMPS,127940.47,2558.81,460.59,124921.07,870813720101,SETTLED
pay_EGK84BLJ57QVLL,ERP-2026-0158,2026-08-23,NB,126895.88,2537.92,456.83,123901.13,725141090821,SETTLED
pay_MQ2B1JK44KXOK6,ERP-2026-0159,2026-07-07,CARD,111970.44,2239.41,403.09,109327.94,960999747407,SETTLED
pay_FM6MO410Z5MHH8,ERP-2026-0160,2026-08-09,UPI,68626.48,1372.53,247.06,67006.89,406511250875,SETTLED
pay_WRXDNX8AM0EY7G,ERP-2026-0161,2026-08-10,IMPS,111021.52,2220.43,399.68,108401.41,649511562794,SETTLED
pay_0ROM8BCK5JGECF,ERP-2026-0163,2026-08-26,WALLET,53349.33,1066.99,192.06,52090.28,656587696223,SETTLED
pay_I0JKHMRGJD9TKW,ERP-2026-0164,2026-07-27,CARD,123104.35,2462.09,443.18,120199.08,558756817366,SETTLED
pay_9ID2EQ3F8D70CM,ERP-2026-0165,2026-08-21,UPI,123069.03,2461.38,443.05,120164.6,218178015471,SETTLED
pay_ZMJ6SA03IYCNFZ,ERP-2026-0166,2026-08-20,NEFT,39605.25,792.11,142.58,38670.56,337693262725,SETTLED
pay_TLAHESU0GWG0UT,ERP-2026-0167,2026-08-05,CARD,129750.51,2595.01,467.1,126688.4,662583506232,SETTLED
pay_XIG3MMFB3LD6HA,ERP-2026-0168,2026-07-12,UPI,62339.0,1246.78,224.42,60867.8,344909804462,SETTLED
pay_SF6IRT9M5D4K32,ERP-2026-0169,2026-07-29,NEFT,46074.92,921.5,165.87,44987.55,701789307950,SETTLED
pay_DKPAWL0ADNRWA7,ERP-2026-0170,2026-08-02,CARD,95254.66,1888.51,342.92,93023.23,731802690048,SETTLED
pay_3DRX2KD88HU3U8,ERP-2026-0171,2026-08-18,NEFT,12732.13,254.64,45.84,12431.65,803868330966,SETTLED
pay_4T209QTNU594MF,ERP-2026-0172,2026-07-04,IMPS,91009.16,1820.18,327.63,88861.35,540029512970,SETTLED
pay_2P4RJ3BAS5IQS3,ERP-2026-0173,2026-07-19,IMPS,113812.04,2276.24,409.72,111126.08,564486405481,SETTLED
pay_BKX6PG278NUW28,ERP-2026-0174,2026-08-13,CARD,33005.47,660.11,118.82,32226.54,660974411362,SETTLED
pay_PNL1PGUIYQ3YKL,ERP-2026-0175,2026-07-13,IMPS,1340.16,26.8,4.82,1308.54,909728555368,SETTLED
pay_JFZY8DPQY5Q2JE,ERP-2026-0176,2026-07-14,NB,30668.38,613.37,110.41,29944.6,391242282332,SETTLED
pay_UO5T7E9UF50TJF,ERP-2026-0177,2026-07-15,WALLET,87411.17,1748.22,314.68,85348.27,308272153681,SETTLED
pay_5X7A5X5UVFTWR8,ERP-2026-0178,2026-08-16,CARD,109619.12,2192.38,394.63,107032.11,658959171545,SETTLED
pay_KMIUJ10WS341YB,ERP-2026-0179,2026-07-16,CARD,5391.52,107.83,19.41,5264.28,575964905247,SETTLED
pay_2ACQDKVPGQM8NZ,ERP-2026-0180,2026-08-23,WALLET,61663.56,1233.27,221.99,60208.3,754400641176,SETTLED
pay_F594DLP61HJE43,ERP-2026-0181,2026-07-07,IMPS,76017.84,1520.36,273.66,74223.82,312787529402,SETTLED
pay_PPR9ZPLMOHV0AD,ERP-2026-0182,2026-07-11,UPI,38256.47,765.13,137.72,37353.62,170334798386,SETTLED
pay_KSLDEKCYCS61Y8,ERP-2026-0183,2026-08-06,NB,97439.25,1948.79,350.78,95139.68,173305723585,SETTLED
pay_W3R8M9SKZ3DR8C,ERP-2026-0184,2026-07-05,IMPS,72610.85,1452.22,261.4,70897.23,945632765840,SETTLED
pay_I5YWL046ARXCMT,ERP-2026-0185,2026-07-28,WALLET,142788.14,2855.76,514.04,139418.34,800400202319,SETTLED
pay_T63TFAAUWYCUF6,ERP-2026-0186,2026-07-22,CARD,44201.73,884.03,159.13,43158.57,345565559346,SETTLED
pay_AINAOTOUS8LL8F,ERP-2026-0187,2026-07-28,NEFT,13123.26,262.47,47.24,12813.55,395850490895,SETTLED
pay_8JK1MKP8DYZAXF,ERP-2026-0188,2026-08-10,WALLET,42487.56,849.75,152.95,41484.86,668468408170,SETTLED
pay_2LNSAJ116U76AT,ERP-2026-0189,2026-07-15,NB,107986.01,2159.72,388.75,105437.54,391385538753,SETTLED
pay_1IC5ACQ0I0BXZO,ERP-2026-0190,2026-07-31,CARD,74493.28,1489.87,268.18,72735.23,713154549066,SETTLED
pay_KWDFW0BQE6ZSBQ,ERP-2026-0192,2026-07-10,NB,68258.33,1365.17,245.73,66647.43,333001236194,SETTLED
pay_9P6JDH6LNWH4I5,ERP-2026-0193,2026-07-16,IMPS,47424.43,948.49,170.73,46305.21,553801175831,SETTLED
pay_SX2YZTD1S8K4QJ,ERP-2026-0194,2026-08-16,WALLET,143255.86,2865.12,515.72,139875.02,110299959456,SETTLED
pay_G6XWDJYZAZP0GZ,ERP-2026-0195,2026-08-20,CARD,37043.85,740.88,133.36,36169.61,872521763176,SETTLED
pay_OCMMZTCW88V8VE,ERP-2026-0196,2026-08-06,UPI,102472.02,2049.44,368.9,100053.68,641470017076,SETTLED
pay_DURRYAJLC3EYFW,ERP-2026-0197,2026-07-29,IMPS,105110.8,2102.22,378.4,102630.18,642863357714,SETTLED
pay_UYSLY9FSOG6R49,ERP-2026-0198,2026-08-13,UPI,81847.86,1636.96,294.65,79916.25,707215817567,SETTLED
pay_TQJC8Q8MNCLICW,ERP-2026-0200,2026-07-08,UPI,90845.84,1816.92,327.05,88701.87,105768820536,SETTLED
pay_7AFWENA0FFE0JU,ERP-2026-0201,2026-08-03,NB,13280.14,265.6,47.81,12966.73,202677638002,SETTLED
pay_8YCER1VON9ME5C,ERP-2026-0202,2026-07-26,IMPS,120768.77,2415.38,434.77,117918.62,477689259977,SETTLED
pay_5ZV2SADGWMGPNT,ERP-2026-0203,2026-08-04,UPI,32427.68,648.55,116.74,31662.39,465468456246,SETTLED
pay_5R6VYG4KDQP4IU,ERP-2026-0204,2026-08-05,NB,8255.71,165.11,29.72,8060.88,442769747230,SETTLED
pay_JSRZMOBERAY51Q,ERP-2026-0206,2026-08-10,NB,59164.31,1183.29,212.99,57768.03,102485372884,SETTLED
pay_Y7QNUTK4PP0WCS,ERP-2026-0207,2026-07-24,NEFT,63637.5,1272.75,229.09,62135.66,164600693508,SETTLED
pay_T3C3F8T65P5E3L,ERP-2026-0208,2026-07-06,IMPS,132786.01,2655.72,478.03,129652.26,847121553588,SETTLED
